layers,neurons,epochs,batch.size,regularization,MSE_training,MSE_CV,MAE_training,MAE_CV,R2_training,R2_CV
3,30,30,10,NA,17.168231738064286,31.390008310657567,2.9855515019437986,4.280306481630793,0.8023132208315936,0.6386988211424184
4,30,30,10,NA,20.39245627667958,29.242786538186213,3.3859981814818068,4.12486281793567,0.7717576751666196,0.6638210332525475
1,50,30,10,NA,21.52087691451055,28.22433755773,3.5224337260908563,4.1616432982223035,0.753515034065664,0.6749611154462073
2,50,30,10,NA,17.129691427659385,29.543883433598754,3.055157329343805,4.14056263500067,0.8054574384340554,0.661207860037832
3,50,30,10,NA,14.999423648028833,27.723171811910728,2.8861472011314917,3.949921800669266,0.8286708506777127,0.6815587592591187
4,50,30,10,NA,15.292381794498583,29.937123304666333,2.9597676315538552,4.231773997331854,0.8276902585185741,0.6572376919888825
1,100,30,10,NA,18.877803267663946,28.74375591787871,3.2414541901506935,4.091614173311688,0.7843535298545236,0.6700388407527501
2,100,30,10,NA,12.684410478887115,28.68251025509607,2.516285028311944,4.081715615807539,0.8599084506299036,0.6706816419887138
3,100,30,10,NA,12.18885065407691,30.291883772201253,2.5780023579217364,4.255672952430625,0.8900746182055359,0.6582055317344154
4,100,30,10,NA,7.81385215900552,28.39230501141952,1.8534840445094425,3.9966957894945696,0.923489600086688,0.6849552894352733
1,5,50,10,NA,26.17632219957768,38.95881606370429,4.017702546387236,4.891130525636072,0.6993875880230783,0.5620553670528375
2,5,50,10,NA,40.25940855984243,32.770126210664614,4.921466593479678,4.407385071462178,0.5443309516987707,0.6221500492702727
3,5,50,10,NA,472.8025704619965,101.44862763459157,19.652017004901747,6.7898267463847155,0.018320742434116022,0.23147790691572134
4,5,50,10,NA,26.41363235136391,38.853897581446276,3.933447709993144,4.9197364724148045,0.7038290401398996,0.5528060592972349
1,10,50,10,NA,23.039908938576115,32.82821730184293,3.6235847828128875,4.5461464802511795,0.7349569440030242,0.6218068955049963
2,10,50,10,NA,22.52331541400008,32.45354841896726,3.5932953622754047,4.460880879148548,0.742450424344714,0.6296228311642733
3,10,50,10,NA,22.09983428892587,31.427984273451123,3.421509149293375,4.348120425619807,0.7457632330991391,0.6391147447047258
4,10,50,10,NA,22.13618090550398,30.21271633283389,3.5180752294175934,4.2914332045381816,0.7467478407963271,0.6538146071058064
1,15,50,10,NA,24.2652682518154,30.883023679959088,3.7177328609005493,4.238747644492375,0.7212810721227441,0.644677999443987
2,15,50,10,NA,16.649857242572033,29.51640997386575,3.0155195081228037,4.203574710235839,0.8084442335386924,0.6634102471266576
3,15,50,10,NA,17.479156674522187,28.644079109531216,3.1685455004254277,4.111996330945482,0.8013625040039335,0.6697822431096226
4,15,50,10,NA,21.477936677110186,29.60348620269167,3.4234693242700787,4.116937177319572,0.7542470325309023,0.6620901083107794
1,30,50,10,NA,18.123466286705167,29.433438580415924,3.1135390784064976,4.138076256761475,0.7912973762301855,0.6611469793796594
2,30,50,10,NA,13.174321353635419,32.43520392996544,2.6551407878710487,4.391189227858605,0.8502500189935154,0.6309038494110067
3,30,50,10,NA,14.227333221231042,29.48489405943512,2.823999588973743,4.283064608077596,0.8370944727700586,0.6669264650910771
4,30,50,10,NA,13.547935752967902,28.560999533082022,2.8628480195652806,4.041041869423001,0.8492280074399824,0.6719884756684337
1,50,50,10,NA,17.574248081236846,27.079845674022597,3.057060085286119,3.933741276198511,0.799135459898857,0.6902230589476352
2,50,50,10,NA,9.914331815050005,33.53556348324889,2.2743555381779434,4.357606943806797,0.8861863125391322,0.6279244240182649
3,50,50,10,NA,9.54126731540825,31.188189496777433,2.1255022163593935,4.18267769591414,0.8900098838097162,0.6452778337448913
4,50,50,10,NA,8.77117901504217,35.83738825645412,2.0982922932692096,4.569120109423533,0.9011115432263345,0.6123948888022114
1,100,50,10,NA,13.133655297975837,27.60164080235179,2.6126724816180538,4.009974039742062,0.8585967223290586,0.688458817594937
2,100,50,10,NA,8.191363178149913,32.27948766326539,1.8833269538710595,4.331912310630004,0.9128201606948673,0.6426545961943241
3,100,50,10,NA,6.1363957566798195,34.80544874870702,1.2424563238713824,4.476640100971662,0.9293700666601977,0.6251687183780952
