layers,neurons,epochs,batch.size,regularization,MSE_training,MSE_CV,MAE_training,MAE_CV,R2_training,R2_CV
3,5,30,5,1,25.027945424662935,31.937163503289934,3.6944456660636478,4.360942031463893,0.7135283913852932,0.6370233505342107
4,5,30,5,1,30.152994483838338,130.90556236374678,4.059108697371189,7.687239340849708,0.6610056156281607,0.14996527905516854
1,10,30,5,1,21.790914630897564,29.666952996816125,3.230910525927813,4.240568926773678,0.7566344245496823,0.6623224703770331
2,10,30,5,1,22.84528185187346,32.632170651540186,3.2562686880215534,4.377536438732571,0.7373410636174782,0.6361599757125355
3,10,30,5,1,22.756943895336565,31.433311350707292,3.237603951513153,4.17584337505034,0.7429687030819386,0.6505169524799449
4,10,30,5,1,22.183805497268462,29.816623492301023,3.4257427601957917,4.19670365708105,0.7463096189063072,0.657706657811327
1,15,30,5,1,22.900583075793623,30.71619535131089,3.213589869115309,4.208111372927535,0.7412895860985492,0.6572806954915236
2,15,30,5,1,20.755627539517437,28.081731651561565,3.2898381334678986,4.12362635683268,0.7722670349277506,0.6796808405362301
3,15,30,5,1,19.49443778078948,28.200933569313243,2.980928101209215,4.171818571673503,0.7793753609147064,0.6768865522252808
4,15,30,5,1,20.431492343258135,30.648164469606787,3.0834733636391634,4.276891802258701,0.7648742009327689,0.6577321816362967
1,30,30,5,1,19.84533574491764,30.054565480848364,2.9791332346504156,4.245505824660751,0.7712514277550184,0.6605500829801988
2,30,30,5,1,17.566223086335267,28.331959330116476,2.762819808622956,4.029935500000386,0.7999871851400755,0.6811172622533948
3,30,30,5,1,16.588089645191364,29.396295473289005,2.631596891348982,4.082218542598845,0.8115052797715335,0.6640553152087685
4,30,30,5,1,19.437121312588648,34.91908208636533,3.1809568978532976,4.599092273244217,0.7961847046645663,0.6159325380677163
1,50,30,5,1,19.511829466657574,29.445084292828593,2.8795934821210585,4.147010287629674,0.7867774037179293,0.6707105668620358
2,50,30,5,1,17.19904279614441,30.14641828403405,2.7071701360806215,4.1567527681315815,0.827641900673181,0.6619895382960973
3,50,30,5,1,17.345571572785882,29.871525981640843,2.749944560357063,4.066421294806975,0.8296714251149064,0.6701486939440628
4,50,30,5,1,14.317855340425583,32.987488465061915,2.4926488205631547,4.356396023459785,0.8399358997811224,0.6366420157582189
1,100,30,5,1,16.232302075820243,27.001359966136423,2.5684579401324834,3.860912816663935,0.8269091103992354,0.6941601503545075
2,100,30,5,1,13.636468195997454,31.731379579417542,2.4179157791655492,4.291224386328494,0.8498356418820425,0.6446426625513146
3,100,30,5,1,10.915344450857797,32.52496293973563,2.073949399349443,4.373312605641036,0.8856886856041553,0.6387375005061143
4,100,30,5,1,12.471008990134287,32.24819470004779,2.305091978217499,4.2738675864362765,0.8641421652695102,0.6649444743235872
1,5,50,5,1,22.994076012300166,29.638948509149518,3.4492055505483132,4.225678772837946,0.7375391543954185,0.6607588568079947
2,5,50,5,1,23.754263560911294,112.38754232379192,3.591667654371696,7.2605627438145435,0.7276926050155125,0.29423724138411456
3,5,50,5,1,22.46975314470961,31.303344650415976,3.4417268751968444,4.329776510437774,0.7478071716950284,0.6420321216882777
4,5,50,5,1,23.303311148799185,115.58586775788564,3.4543668856968472,6.960027412233032,0.7376413694924333,0.2477368237559125
1,10,50,5,1,19.969308116860283,28.16498461265699,3.0947904732012854,4.097975584945411,0.7717173180407236,0.676311377118749
2,10,50,5,1,20.683714176583802,28.040085283918156,3.0060323620452363,4.0842431735969305,0.7707319589288983,0.683858346813272
3,10,50,5,1,21.30902895186808,30.13002866864313,3.1170335527651734,4.18076318367688,0.755329119360381,0.6610126876054189
4,10,50,5,1,18.976606935388784,27.824593153649747,2.953276091971327,4.03962698648861,0.7872980862789849,0.6827367680135836
1,15,50,5,1,19.420584203941416,29.250899122259653,2.938945651757904,3.9804935214074386,0.7860224008549074,0.6679052452029757
2,15,50,5,1,19.6643312284008,31.22571001787452,2.850455799679935,4.308221529083304,0.774410096581009,0.6479854168034572
3,15,50,5,1,18.500022671618968,28.863637421966285,2.8798614217425533,4.1286613689983875,0.7916383276448214,0.6729726829846059
4,15,50,5,1,15.384126278792134,27.763786686023533,2.5489144325457405,3.870742821035745,0.8236192841155134,0.6856331544868972
1,30,50,5,1,18.28689396467513,26.394403673013336,2.762042534983043,3.8441272159182174,0.7976297469832611,0.6992975397650418
2,30,50,5,1,13.816237880376978,29.09533919873599,2.311629323081721,4.069359481243269,0.843372483747162,0.668942213963288
3,30,50,5,1,11.926669422492187,29.773491631674656,2.0889277169379703,4.1718798680122715,0.8625184605522662,0.667468795467844
4,30,50,5,1,11.048857154459023,29.76071657161613,2.1701127882324123,4.097487329756068,0.8748691606687233,0.6710629793018815
1,50,50,5,1,15.259480887845017,28.25964489075381,2.4545077369923036,4.1126306075434185,0.8249077182591412,0.6823994040731474
2,50,50,5,1,11.732723070129675,30.273819999911748,2.2398740571391884,4.185843132535455,0.8676467872094586,0.6557665496437852
3,50,50,5,1,11.746511863625802,32.60240812069197,2.137238225980576,4.385446250194169,0.885374270232335,0.636908535265179
4,50,50,5,1,8.85925499193043,33.117051235626626,1.875322285898627,4.408983190299528,0.9011160468490447,0.6355263903085783
1,100,50,5,1,12.321428445130088,28.155690079253798,2.402565414887823,4.017951326512439,0.8666614354832646,0.6833556587088908
2,100,50,5,1,8.170342268186632,31.27727775184169,1.875171337812923,4.200593490207296,0.9057983257640083,0.6520195805105024
3,100,50,5,1,10.125798487768643,34.21585489779309,2.054464031255713,4.326535281255786,0.8882871313205253,0.6222227090579268
4,100,50,5,1,8.175646149853847,37.5364619041058,1.8668058225551918,4.632715443716097,0.9107262682476567,0.6087567726867885
1,5,20,10,1,35.487387806863886,43.99140650915166,4.441942597786198,5.0504248964068434,0.5926509984835442,0.5060286045403247
2,5,20,10,1,42.118501033068526,48.83737829161219,4.829300857590164,5.2938694814456015,0.5286327076774868,0.47286979462765927
3,5,20,10,1,473.93256356008226,128.40848320211012,19.680585032697202,7.732800968770496,0.018650869633826398,0.180041504880422
4,5,20,10,1,45.66361289619527,240.28146166594817,5.163435919984379,11.824751476731251,0.49735690119878667,0.09308846563504658
1,10,20,10,1,25.79322536182766,37.36739819416317,3.789818005774151,4.626683516256954,0.7025645944972143,0.5775899478727771
