eta,max_depth,min_child_weight,subsample,colsample_bytree,optimal_trees,min_RMSE,CV_R2
0.3,1,1,0.8,0.8,114,8.7912962,0.5844091068728912
0.01,3,1,0.8,0.8,1000,8.2584476,0.6324279098877795
0.05,3,1,0.8,0.8,785,7.7758568,0.674191286847921
0.1,3,1,0.8,0.8,404,7.813695,0.6712533675539887
0.3,3,1,0.8,0.8,147,8.0046606,0.6576367877100303
0.01,5,1,0.8,0.8,1000,7.931401,0.66092448051207
0.05,5,1,0.8,0.8,571,7.5944785999999995,0.6892608680878956
0.1,5,1,0.8,0.8,267,7.6402966,0.685635774886218
0.3,5,1,0.8,0.8,108,7.6783082,0.6842582816931909
0.01,10,1,0.8,0.8,1000,7.7389304,0.6789639110381214
0.05,10,1,0.8,0.8,572,7.683612800000001,0.683402714841963
0.1,10,1,0.8,0.8,267,7.8512108000000005,0.6703586844867128
0.3,10,1,0.8,0.8,63,8.324660399999999,0.6349571130285738
0.01,1,3,0.8,0.8,1000,9.2095312,0.5473115355283208
0.05,1,3,0.8,0.8,514,8.7870016,0.5841423768692033
0.1,1,3,0.8,0.8,276,8.7979238,0.5831235755850745
0.3,1,3,0.8,0.8,114,8.7912962,0.5844091068728912
0.01,3,3,0.8,0.8,1000,8.2596898,0.6323228050677131
0.05,3,3,0.8,0.8,487,7.9467994,0.6597871929872857
0.1,3,3,0.8,0.8,430,7.825507,0.6703111801453869
0.3,3,3,0.8,0.8,121,8.0159968,0.6565291860802065
0.01,5,3,0.8,0.8,1000,7.9386698000000004,0.6604193319769032
0.05,5,3,0.8,0.8,744,7.578858,0.6908216155664297
0.1,5,3,0.8,0.8,476,7.5790092,0.6911115435573713
0.3,5,3,0.8,0.8,90,7.816262,0.6731444600098234
0.01,10,3,0.8,0.8,1000,7.7282132,0.679501801563468
0.05,10,3,0.8,0.8,571,7.6511148,0.686040859190675
0.1,10,3,0.8,0.8,344,7.7790642,0.6760514809696164
0.3,10,3,0.8,0.8,60,8.274414,0.6393721802486083
0.01,1,5,0.8,0.8,1000,9.2095312,0.5473115355283208
0.05,1,5,0.8,0.8,514,8.7870018,0.5841423768692033
0.1,1,5,0.8,0.8,276,8.7979238,0.5831235755850745
0.3,1,5,0.8,0.8,114,8.7912962,0.5844091068728912
0.01,3,5,0.8,0.8,1000,8.258832400000001,0.6323947748490869
0.05,3,5,0.8,0.8,635,7.87685,0.6657464062718489
0.1,3,5,0.8,0.8,447,7.8453174,0.6688820610378365
0.3,3,5,0.8,0.8,91,8.149356599999999,0.6454783144800941
0.01,5,5,0.8,0.8,1000,7.9323684000000005,0.6609278949337856
0.05,5,5,0.8,0.8,572,7.6161756,0.6876627473240174
0.1,5,5,0.8,0.8,421,7.5881328,0.6903146600780526
0.3,5,5,0.8,0.8,146,7.7604794,0.6792186162182553
0.01,10,5,0.8,0.8,1000,7.7009308,0.6816714397506407
0.05,10,5,0.8,0.8,551,7.661376,0.6852149667401467
0.1,10,5,0.8,0.8,308,7.8089774,0.6737139445734622
0.3,10,5,0.8,0.8,86,8.2618166,0.6405697020470138
0.01,1,7,0.8,0.8,1000,9.2095312,0.5473115355283208
0.05,1,7,0.8,0.8,514,8.7870018,0.5841423768692033
0.1,1,7,0.8,0.8,276,8.7979236,0.5831235755850745
0.3,1,7,0.8,0.8,114,8.7912962,0.5844091068728912
0.01,3,7,0.8,0.8,1000,8.270473,0.6313905486199227
0.05,3,7,0.8,0.8,697,7.8338024,0.6694262624271772
0.1,3,7,0.8,0.8,506,7.7649042,0.675297111906692
0.3,3,7,0.8,0.8,148,7.941201,0.6627245980751046
0.01,5,7,0.8,0.8,1000,7.9203133999999995,0.6619345180126731
0.05,5,7,0.8,0.8,506,7.650607399999999,0.6846817430402456
0.1,5,7,0.8,0.8,271,7.6730734,0.6828664046055308
0.3,5,7,0.8,0.8,146,7.649458800000001,0.6869501414374249
0.01,10,7,0.8,0.8,1000,7.6882702,0.6826451105299775
0.05,10,7,0.8,0.8,573,7.6351934,0.6875888351457401
0.1,10,7,0.8,0.8,319,7.7592532,0.6776413540254932
0.3,10,7,0.8,0.8,118,8.138147400000001,0.6503460194476057
0.01,1,1,1,0.8,1000,9.2139484,0.547838255561262
0.05,1,1,1,0.8,582,8.7582352,0.5869342010765639
0.1,1,1,1,0.8,371,8.6780336,0.5946554395266167
0.3,1,1,1,0.8,159,8.7493252,0.5891605750982934
0.01,3,1,1,0.8,1000,8.3188364,0.6270194282196411
0.05,3,1,1,0.8,901,7.8467902,0.6681853399755258
0.1,3,1,1,0.8,551,7.7963536,0.6723148567100701
0.3,3,1,1,0.8,216,7.9378088,0.6637354497437287
0.01,5,1,1,0.8,1000,7.982674,0.6563141304305697
0.05,5,1,1,0.8,929,7.5650434,0.6912789308023958
0.1,5,1,1,0.8,644,7.5289924,0.6944475618731121
0.3,5,1,1,0.8,186,7.8948092,0.6660084015382884
0.01,10,1,1,0.8,1000,7.791784,0.6744821593653239
0.05,10,1,1,0.8,657,7.7539258,0.6779104870639164
0.1,10,1,1,0.8,346,7.8819742,0.667770396429446
0.3,10,1,1,0.8,153,8.1946972,0.6452983028014178
0.01,1,3,1,0.8,1000,9.2139484,0.547838255561262
0.05,1,3,1,0.8,582,8.7582352,0.5869342010765639
0.1,1,3,1,0.8,371,8.6780336,0.5946554395266167
0.3,1,3,1,0.8,159,8.7493252,0.5891605750982934
0.01,3,3,1,0.8,1000,8.3233088,0.6266260809799208
0.05,3,3,1,0.8,1000,7.8126766,0.6712291652504881
0.1,3,3,1,0.8,576,7.7563744,0.675505589756015
0.3,3,3,1,0.8,156,8.1315814,0.647406455589352
0.01,5,3,1,0.8,1000,7.9628208,0.658017983908913
0.05,5,3,1,0.8,715,7.5673034,0.6910499039811329
0.1,5,3,1,0.8,605,7.5569908,0.692455901116575
0.3,5,3,1,0.8,179,7.8078934,0.6726698014724701
0.01,10,3,1,0.8,1000,7.7623299999999995,0.6768906592137968
0.05,10,3,1,0.8,745,7.6923164,0.6828437111101595
0.1,10,3,1,0.8,220,7.7874244,0.6750458226939677
0.3,10,3,1,0.8,84,8.2469786,0.6412865537448378
0.01,1,5,1,0.8,1000,9.2139484,0.547838255561262
0.05,1,5,1,0.8,582,8.7582352,0.5869342010765639
0.1,1,5,1,0.8,371,8.6780336,0.5946554395266167
0.3,1,5,1,0.8,159,8.7493252,0.5891605750982934
0.01,3,5,1,0.8,1000,8.3207716,0.6268626616313806
0.05,3,5,1,0.8,895,7.8483344,0.6682012618288574
0.1,3,5,1,0.8,633,7.7361904,0.6771849249346831
0.3,3,5,1,0.8,122,8.147996,0.645817449405394
0.01,5,5,1,0.8,1000,7.9718696,0.65732198022314825
0.05,5,5,1,0.8,835,7.534961,0.6939101946275739
0.1,5,5,1,0.8,416,7.6154078,0.6877404134983074
0.3,5,5,1,0.8,140,7.9029762,0.664704965641832
0.01,10,5,1,0.8,1000,7.7426756,0.6782844947374479
0.05,10,5,1,0.8,596,7.6798048,0.683951762121691
0.1,10,5,1,0.8,479,7.7987974,0.6749106775730488
0.3,10,5,1,0.8,77,8.1760722,0.6458953452295634
0.01,1,7,1,0.8,1000,9.2139484,0.547838255561262
0.05,1,7,1,0.8,582,8.7582352,0.5869342010765639
0.1,1,7,1,0.8,371,8.6780336,0.5946554395266167
0.3,1,7,1,0.8,159,8.749325,0.5891605750982934
0.01,3,7,1,0.8,999,8.318964,0.6270208284033247
0.05,3,7,1,0.8,728,7.8956424,0.6641223454766584
0.1,3,7,1,0.8,599,7.716689,0.678940001198683
0.3,3,7,1,0.8,217,7.9807796,0.6601753880588328
0.01,5,7,1,0.8,1000,7.9767224,0.6568681737659164
0.05,5,7,1,0.8,715,7.588013800000001,0.6895594095918318
0.1,5,7,1,0.8,246,7.7096224,0.6795237300151254
0.3,5,7,1,0.8,245,7.7893462,0.6745714031783308
0.01,10,7,1,0.8,1000,7.7348631999999995,0.6788307542585298
0.05,10,7,1,0.8,638,7.6458936,0.6862892577223547
0.1,10,7,1,0.8,231,7.8155844,0.6736105696498983
0.3,10,7,1,0.8,179,8.1710428,0.6484890889359933
0.01,1,1,0.65,0.9,1000,9.1953824,0.5485888435381984
0.05,1,1,0.65,0.9,481,8.8526708,0.5778591699809452
0.1,1,1,0.65,0.9,155,8.9398036,0.5694693422750879
0.3,1,1,0.65,0.9,149,8.7656366,0.5877259087330827
0.01,3,1,0.65,0.9,1000,8.259803,0.6323794071583355
0.05,3,1,0.65,0.9,945,7.7459853999999995,0.6771900265358438
0.1,3,1,0.65,0.9,335,7.878595,0.6665191112766747
0.3,3,1,0.65,0.9,131,8.2119488,0.6399080134592011
0.01,5,1,0.65,0.9,1000,7.952906,0.6591045275117161
0.05,5,1,0.65,0.9,777,7.5824364,0.6904377404810849
0.1,5,1,0.65,0.9,319,7.6511006,0.6849549852990976
0.3,5,1,0.65,0.9,109,8.0603538,0.6553072939949428
