eta,max_depth,min_child_weight,subsample,colsample_bytree,optimal_trees,min_RMSE,CV_R2
0.1,3,7,0.8,0.8,42,5.014626,0.6983666510897492
0.3,3,7,0.8,0.8,13,5.4172238,0.6510776451321663
0.01,5,7,0.8,0.8,453,5.0957134,0.6901642340993358
0.05,5,7,0.8,0.8,94,5.1439052,0.6862283702184191
0.1,5,7,0.8,0.8,42,5.0380374,0.6992743038298987
0.3,5,7,0.8,0.8,14,5.4402922,0.6528756789254779
0.01,10,7,0.8,0.8,453,5.0964928,0.6899947656026401
0.05,10,7,0.8,0.8,94,5.1480094,0.6853284452609009
0.1,10,7,0.8,0.8,50,4.9592014,0.7039368312869645
0.3,10,7,0.8,0.8,15,5.3870032,0.6613687776621662
0.01,1,1,1,0.8,511,5.4219952000000005,0.6514674533176636
0.05,1,1,1,0.8,129,5.377045,0.6558736638601518
0.1,1,1,1,0.8,53,5.4537168000000005,0.6465324452050891
0.3,1,1,1,0.8,28,5.372012,0.6645498325887595
0.01,3,1,1,0.8,615,5.3079166,0.667828683075738
0.05,3,1,1,0.8,112,5.2671672,0.6729413819983143
0.1,3,1,1,0.8,60,5.381943,0.661195072524233
0.3,3,1,1,0.8,29,5.6010992,0.6436341143493473
0.01,5,1,1,0.8,1000,5.5419812,0.6432126193342096
0.05,5,1,1,0.8,99,5.5539996,0.6466761141857963
0.1,5,1,1,0.8,97,5.4135134,0.6603341884094763
0.3,5,1,1,0.8,45,5.8201958,0.6153590297306244
0.01,10,1,1,0.8,492,5.7762348,0.6228622243222378
0.05,10,1,1,0.8,203,5.5879348,0.6403930698717264
0.1,10,1,1,0.8,167,5.5881724,0.6431157914680724
0.3,10,1,1,0.8,75,6.0169162,0.5993699180925747
0.01,1,3,1,0.8,554,5.4054944,0.6529891740281595
0.05,1,3,1,0.8,131,5.3652266,0.657171921619425
0.1,1,3,1,0.8,70,5.4266218,0.6498520910883485
0.3,1,3,1,0.8,18,5.3631492000000005,0.6609209898373989
0.01,3,3,1,0.8,649,5.1655084,0.6867037472507797
0.05,3,3,1,0.8,97,5.311082,0.6719710770987267
0.1,3,3,1,0.8,63,5.3475256,0.6690080924020955
0.3,3,3,1,0.8,17,5.3911376,0.666823651530794
0.01,5,3,1,0.8,424,5.352848,0.6724339633139078
0.05,5,3,1,0.8,101,5.3233442,0.6743048227136217
0.1,5,3,1,0.8,62,5.2348882,0.6797621482992302
0.3,5,3,1,0.8,18,5.4631701999999995,0.6580587685880501
0.01,10,3,1,0.8,539,5.280186,0.6775890764311581
0.05,10,3,1,0.8,122,5.3000983999999995,0.6778287516524547
0.1,10,3,1,0.8,65,5.4424558,0.6541061661994044
0.3,10,3,1,0.8,24,5.4326418,0.6603179229642193
0.01,1,5,1,0.8,553,5.3907446,0.654391295617618
0.05,1,5,1,0.8,134,5.3500708,0.6580230449715649
0.1,1,5,1,0.8,78,5.408905,0.6507013831740179
0.3,1,5,1,0.8,21,5.3697462,0.6601644198820841
0.01,3,5,1,0.8,610,5.1771248,0.6804989842167214
0.05,3,5,1,0.8,102,5.2018604,0.6813657498133514
0.1,3,5,1,0.8,56,5.2978857999999995,0.6683708073256946
0.3,3,5,1,0.8,12,5.3436718,0.6684458826201628
0.01,5,5,1,0.8,594,5.2053492,0.6775971202825218
0.05,5,5,1,0.8,103,5.1988332,0.6801249190953235
0.1,5,5,1,0.8,56,5.2328286,0.6730135424557488
0.3,5,5,1,0.8,11,5.5550104000000005,0.6424080170814934
0.01,10,5,1,0.8,593,5.2127854000000005,0.6768863945313011
0.05,10,5,1,0.8,130,5.1636125999999996,0.683684552454664
0.1,10,5,1,0.8,78,5.2339354,0.6723216829427852
0.3,10,5,1,0.8,18,5.540682,0.6393722428635524
0.01,1,7,1,0.8,650,5.2959338,0.66317062915794
0.05,1,7,1,0.8,164,5.2473938,0.6682719037124344
0.1,1,7,1,0.8,68,5.3026018,0.6625223038353717
0.3,1,7,1,0.8,35,5.3294746,0.665837067648886
0.01,3,7,1,0.8,526,5.281343000000001,0.6687796889349855
0.05,3,7,1,0.8,103,5.2497055999999995,0.6728986030226481
0.1,3,7,1,0.8,51,5.2606964,0.6689105164147873
0.3,3,7,1,0.8,12,5.4491738,0.6538389168805017
0.01,5,7,1,0.8,502,5.3274386,0.6617745643261969
0.05,5,7,1,0.8,100,5.2324876,0.6747342626985113
0.1,5,7,1,0.8,41,5.3507218,0.6626047496038447
0.3,5,7,1,0.8,12,5.4878526,0.6476827826715756
0.01,10,7,1,0.8,468,5.3155368,0.6636847620182563
0.05,10,7,1,0.8,88,5.2361706,0.6763024570265145
0.1,10,7,1,0.8,54,5.3155228,0.66358857310718955
0.3,10,7,1,0.8,12,5.5379034,0.6389499273758613
0.01,1,1,0.65,0.9,467,5.19315,0.6774844757709855
0.05,1,1,0.65,0.9,91,5.3044176,0.6659297571142416
0.1,1,1,0.65,0.9,72,5.2047799999999995,0.6761826984079718
0.3,1,1,0.65,0.9,35,5.2745476,0.6756406178082844
0.01,3,1,0.65,0.9,468,5.1538048,0.6878732957513125
0.05,3,1,0.65,0.9,91,5.2220714,0.6794183164344931
0.1,3,1,0.65,0.9,71,5.0770316,0.6991987906939888
0.3,3,1,0.65,0.9,19,5.3800312,0.6688102291814796
0.01,5,1,0.65,0.9,451,5.2816254,0.6756737925925846
0.05,5,1,0.65,0.9,115,5.270992,0.6727188864479684
0.1,5,1,0.65,0.9,71,5.1700104,0.6863376868113605
0.3,5,1,0.65,0.9,16,5.6699496,0.6410470866541669
