eta,max_depth,min_child_weight,subsample,colsample_bytree,optimal_trees,min_RMSE,CV_R2
0.3,10,3,0.65,0.8,13,6.5572072,0.6772562881030338
0.01,1,5,0.65,0.8,730,6.6052336,0.6669411763758389
0.05,1,5,0.65,0.8,198,6.4875142,0.6750632209686859
0.1,1,5,0.65,0.8,75,6.5183159999999996,0.6764737577562292
0.3,1,5,0.65,0.8,20,6.661302,0.663936367706844
0.01,3,5,0.65,0.8,474,6.204788,0.7026191107362166
0.05,3,5,0.65,0.8,80,6.316856,0.6938902778899749
0.1,3,5,0.65,0.8,48,6.3230474,0.6913861891469342
0.3,3,5,0.65,0.8,18,6.8154726,0.6416264865060474
0.01,5,5,0.65,0.8,484,6.1286058,0.7111510523392288
0.05,5,5,0.65,0.8,91,6.1754442,0.7050907780584001
0.1,5,5,0.65,0.8,50,6.3931987999999995,0.6840294180756255
0.3,5,5,0.65,0.8,15,6.5024618,0.6787102938073959
0.01,10,5,0.65,0.8,469,6.1275814,0.7128223416888448
0.05,10,5,0.65,0.8,100,6.2109716,0.7039024279357147
0.1,10,5,0.65,0.8,49,6.4308268,0.6852830333192126
0.3,10,5,0.65,0.8,20,6.570206,0.6765676084733111
0.01,1,7,0.65,0.8,781,6.5762328,0.6685991498456901
0.05,1,7,0.65,0.8,162,6.525217,0.672844101735276
0.1,1,7,0.65,0.8,75,6.5183159999999996,0.6764737577562292
0.3,1,7,0.65,0.8,20,6.6613018,0.663936367706844
0.01,3,7,0.65,0.8,494,6.2200484,0.7009640828698424
0.05,3,7,0.65,0.8,91,6.2721976,0.6971589375976155
0.1,3,7,0.65,0.8,52,6.4667776,0.6781245987084379
0.3,3,7,0.65,0.8,16,6.8778578,0.6385697396454968
0.01,5,7,0.65,0.8,429,6.1100456,0.7135725785225003
0.05,5,7,0.65,0.8,93,6.221919,0.7024773297589335
0.1,5,7,0.65,0.8,52,6.237051,0.6992610283152718
0.3,5,7,0.65,0.8,14,6.6503864,0.6621614107012594
0.01,10,7,0.65,0.8,439,6.1329883999999995,0.7126972779602547
0.05,10,7,0.65,0.8,94,6.2229352,0.702408632870444
0.1,10,7,0.65,0.8,54,6.2736364,0.6972292294107958
0.3,10,7,0.65,0.8,25,6.4610386,0.6851317124722833
0.01,1,1,0.8,0.8,852,6.5629976,0.6696023162671233
0.05,1,1,0.8,0.8,186,6.4584686,0.6795901780400523
0.1,1,1,0.8,0.8,87,6.542202,0.6713731148125633
0.3,1,1,0.8,0.8,32,6.6188494,0.6621203232975545
0.01,3,1,0.8,0.8,495,6.2301104,0.7006239595481537
0.05,3,1,0.8,0.8,110,6.311237,0.6941435625237689
0.1,3,1,0.8,0.8,58,6.1829344,0.7066416880017025
0.3,3,1,0.8,0.8,37,6.7791214,0.652435181932515
0.01,5,1,0.8,0.8,566,6.191248,0.7053371751773361
0.05,5,1,0.8,0.8,110,6.369257,0.6892482375455502
0.1,5,1,0.8,0.8,48,6.2605348,0.6990565949876016
0.3,5,1,0.8,0.8,13,6.8871698,0.6403995616102481
0.01,10,1,0.8,0.8,559,6.3384698,0.6956364154678992
0.05,10,1,0.8,0.8,129,6.4088,0.6888041148512608
0.1,10,1,0.8,0.8,95,6.3805574,0.6904579519541655
0.3,10,1,0.8,0.8,34,6.9101434,0.642615697312956
0.01,1,3,0.8,0.8,852,6.5629976,0.6696023162671233
0.05,1,3,0.8,0.8,186,6.4584686,0.6795901780400523
0.1,1,3,0.8,0.8,87,6.542202,0.6713731148125633
0.3,1,3,0.8,0.8,32,6.6188494,0.6621203232975545
0.01,3,3,0.8,0.8,479,6.2167584,0.7019109684960908
0.05,3,3,0.8,0.8,112,6.3774125999999995,0.6885177777468161
0.1,3,3,0.8,0.8,60,6.1405622,0.7103544259603644
0.3,3,3,0.8,0.8,17,6.6878116,0.6578506737890978
0.01,5,3,0.8,0.8,548,6.1773236,0.7067991742054466
0.05,5,3,0.8,0.8,102,6.3330966,0.6927422511803738
0.1,5,3,0.8,0.8,55,6.2680966,0.6977159112646977
0.3,5,3,0.8,0.8,14,6.8635746,0.646059217882561
0.01,10,3,0.8,0.8,469,6.2808012,0.7004850558647258
0.05,10,3,0.8,0.8,103,6.3330264,0.6953793404953816
0.1,10,3,0.8,0.8,73,6.387347,0.6890690067572274
0.3,10,3,0.8,0.8,25,6.7259954,0.6580403118272081
0.01,1,5,0.8,0.8,852,6.5629976,0.6696023162671233
0.05,1,5,0.8,0.8,186,6.4584686,0.6795901780400523
0.1,1,5,0.8,0.8,87,6.542202,0.6713731148125633
0.3,1,5,0.8,0.8,32,6.6188494,0.6621203232975545
0.01,3,5,0.8,0.8,479,6.2162496,0.7019658490998933
