layers,neurons,epochs,batch.size,regularization,regularization_factor,garson_selection,dropout_rate,MSE_training,MSE_CV,MAE_training,MAE_CV,R2_training,R2_CV
1,100,25,3,NA,0.001,NA,0,14.971942379450068,32.597931571816254,2.433472310218165,4.284198801072521,0.8343050258179578,0.6385110748724477
2,100,25,3,NA,0.001,NA,0,12.854705776902138,33.23699800981334,2.457068396521173,4.307030075010615,0.8548150184187323,0.6216263117638243
3,100,25,3,NA,0.001,NA,0,13.120543161203077,37.81084232808002,2.493969095763824,4.570924147539712,0.8574151802350639,0.5854270237862269
4,100,25,3,NA,0.001,NA,0,16.557483244769102,30.512957854200714,2.866873241843502,4.179892697422641,0.8525994001294899,0.6581786505283831
1,5,50,3,NA,0.001,NA,0,21.507050117117323,199.69103085351867,2.9753642977906516,9.803080317902428,0.7509724370663714,0.12250490616590307
2,5,50,3,NA,0.001,NA,0,22.68147190456808,27.63040062042351,3.472632406664484,4.080633563707462,0.7447682921214588,0.6812035534805012
3,5,50,3,NA,0.001,NA,0,22.17110518469301,121.53093645484121,3.176697508843113,7.354702286784333,0.7585615318623332,0.21749848178026676
4,5,50,3,NA,0.001,NA,0,22.40269946489437,29.531877592357418,3.293204941835871,4.025174511508282,0.7400164765942083,0.6604865355694445
1,10,50,3,NA,0.001,NA,0,20.015743881141045,28.97704969861666,2.9479284936407026,4.250160139108695,0.7774778379913608,0.6696960171936572
2,10,50,3,NA,0.001,NA,0,21.39301492174232,32.35563598480799,3.0771456223043003,4.259066236280078,0.7695354999795958,0.6322289281453725
3,10,50,3,NA,0.001,NA,0,18.438495200915007,32.02313711679289,2.6646012323266905,4.460331314965484,0.7930221867176419,0.6372589870608393
4,10,50,3,NA,0.001,NA,0,19.89502687433013,29.983590052488093,2.807279758986182,4.122735567583581,0.7699803312717383,0.6573893132192539
1,20,50,3,NA,0.001,NA,0,17.890908132919645,32.922585292641124,2.4209357305744423,4.317653556917306,0.8010345203801115,0.6298713112508524
2,20,50,3,NA,0.001,NA,0,13.94617856127156,37.662499916444226,2.164977420029075,4.650121231638833,0.8487575819983593,0.5904690659946815
3,20,50,3,NA,0.001,NA,0,14.142043203205418,35.2986486553359,2.339381644951677,4.473758829167446,0.8577671037157246,0.6050589542886866
4,20,50,3,NA,0.001,NA,0,13.122987059155962,34.42949636174407,2.1213879371625017,4.417601642218409,0.8509602101413561,0.608951568742106
1,30,50,3,NA,0.001,NA,0,15.391733063073916,32.67018875953559,2.661571503355994,4.354867741279799,0.8217329244449035,0.6346926798120417
2,30,50,3,NA,0.001,NA,0,11.901036790886232,34.83586689655094,2.1780113731519815,4.244422001158589,0.8668497949316766,0.6180599207557034
3,30,50,3,NA,0.001,NA,0,11.693271687048854,34.94559595141167,2.5066904278750655,4.353092957367104,0.8813640724881379,0.6120290266014363
4,30,50,3,NA,0.001,NA,0,13.644594695045283,34.16701951151385,2.4021988350456294,4.510303688389587,0.8496528868887735,0.6168251925041189
1,50,50,3,NA,0.001,NA,0,12.83723971616827,31.846010691956792,2.0895254315413894,4.456541563631627,0.854119993898341,0.6409319165984886
2,50,50,3,NA,0.001,NA,0,12.411761754818137,37.02925001649766,2.212143583241881,4.620123423987718,0.8790541338626139,0.5931750241621682
3,50,50,3,NA,0.001,NA,0,8.956297362335418,38.69844674982964,1.7851540255599432,4.684507876957093,0.8959327035737591,0.5851016858124558
4,50,50,3,NA,0.001,NA,0,17.50756671244933,33.21638414680524,2.9071628097562576,4.346771788385181,0.9111291719540662,0.623789371153061
1,100,50,3,NA,0.001,NA,0,13.189085442625453,31.81659996726612,2.1686951941663457,4.225070726084291,0.874068809658211,0.6441910768660698
2,100,50,3,NA,0.001,NA,0,5.729048887440551,36.87032901474857,1.4581446157720248,4.719177610068512,0.9354521152109787,0.5892335883879493
3,100,50,3,NA,0.001,NA,0,6.022242044302518,40.07642368090479,1.607135440246648,4.832184415547937,0.9341815641220795,0.5651217498833033
