layers,neurons,epochs,batch.size,regularization,MSE_training,MSE_CV,MAE_training,MAE_CV,R2_training,R2_CV
3,20,30,5,2,19.35564473702004,30.497881893847527,3.057358716292371,4.14192645600842,0.7777575922521646,0.6502138248628695
4,20,30,5,2,20.90478473822781,33.310959553934595,3.1096969354591772,4.3848128092713266,0.7610376081703205,0.6268465522857586
1,30,30,5,2,18.959866952865504,30.873413830092538,2.766861250703722,4.244198329768881,0.7820908674766761,0.6534983653886068
2,30,30,5,2,19.375437209460884,32.22493451453183,2.9545651358802965,4.3156389618829545,0.7871965641798331,0.6394257796523052
3,30,30,5,2,17.372320623304613,37.14191886860611,2.661655812913586,4.63213963418314,0.8074684830255252,0.5969656188313919
4,30,30,5,2,15.738703555393563,35.79301255011212,2.5741294505658265,4.6086564008403235,0.8195251730379827,0.6087261195105095
1,50,30,5,2,19.28470584311979,32.47747221356507,2.9305938381053687,4.314220141116593,0.8016369134266894,0.6461996901763456
2,50,30,5,2,18.755734135804992,32.035040484799495,2.8523310657977796,4.209841940435757,0.818325688968431,0.6373268104022999
3,50,30,5,2,14.258644761223016,35.853671086583766,2.312135791721038,4.528648276503523,0.837196019528325,0.5986008724966205
4,50,30,5,2,15.452059418432624,32.89558683140363,2.5344189597846967,4.316453453102949,0.8234739865963677,0.6326150505703295
1,100,30,5,2,16.226412199648387,33.032456247384275,2.507850984650041,4.4234645537287,0.8227849637053172,0.6359022430157203
2,100,30,5,2,13.351843735918179,40.60592676990683,2.330874780413318,4.869653275622536,0.8720821951267795,0.5708473634792385
3,100,30,5,2,13.937813133605983,34.996377242628654,2.590897211382465,4.582545049523052,0.8438028604170771,0.6086933260874662
4,100,30,5,2,13.084709990090369,37.29103904409629,2.3782050352650557,4.699128112351813,0.8662831821680721,0.5855465487699865
1,5,50,5,2,21.49938502796405,31.74441845159739,3.2583975694123612,4.348427742791291,0.7579216831071652,0.6353712155437631
2,5,50,5,2,24.324654586828068,32.56500883252506,3.3025645407552715,4.209722941106155,0.720184774565881,0.6301510302561523
3,5,50,5,2,23.724221205611315,128.77203354391543,3.3916871824659536,7.706313007877212,0.7301344898532455,0.18740207596964367
4,5,50,5,2,23.995532220157326,111.15800781136403,3.608317866521318,7.273686219446494,0.7235411828923249,0.24845715093847864
1,10,50,5,2,20.48399153226152,33.71443458317047,3.1599312925754104,4.459710917769541,0.7666115358190917,0.6229104749712678
2,10,50,5,2,19.85088692220093,33.29010855439835,2.925067372269873,4.314261940525712,0.7747381841381203,0.6252446539571022
3,10,50,5,2,19.77634601612407,33.250139231304225,2.9009821331873575,4.37477540676131,0.7902453238021403,0.6283055344547432
4,10,50,5,2,20.743396020384623,32.2785817145695,3.0331473081782283,4.301624026123949,0.7749050048022563,0.6385660170677528
1,15,50,5,2,18.584656395523425,33.88913835103299,2.6766308834844836,4.468021805774915,0.7863233270858132,0.6256434366882884
2,15,50,5,2,18.056019823564057,32.37638073811505,2.764054836641542,4.1941991219003345,0.7919331932949577,0.6331190259988391
3,15,50,5,2,18.208395672292077,34.075605967582476,2.6565151360236485,4.367539854235963,0.7992772686773048,0.6231671748538923
4,15,50,5,2,19.254688837298392,31.91735406279315,2.7089537173273786,4.2592946593576,0.7823617253911715,0.6454998167716222
