layers,neurons,epochs,batch.size,regularization,selection,MSE_training,MSE_CV,MAE_training,MAE_CV,R2_training,R2_CV
3,20,25,5,NA,0,16.810871121947216,59.527617003754145,2.7385781958601703,5.6697981288052555,0.8747859991027437,0.5919442899690527
4,20,25,5,NA,0,22.788600356442636,54.737918387890026,3.2202578163904816,5.317254670537278,0.8676291931279699,0.6182403615358859
1,50,25,5,NA,0,16.477441684803814,52.93623816632425,2.7291720247818967,5.406797665679474,0.8775083280000313,0.6281869771648442
2,50,25,5,NA,0,14.36117164458978,55.93794885574612,2.4696663354135917,5.445789352903136,0.8930544010479691,0.6112616119419397
3,50,25,5,NA,0,12.82378055390046,51.67383810023943,2.3806767903682187,5.271547316388887,0.9051768301844578,0.632180243120568
4,50,25,5,NA,0,16.482425341940587,53.9552790661239,2.9059426248650237,5.403914554459927,0.9027401494712564,0.6118190621834194
1,100,25,5,NA,0,19.619379393876496,56.65238250354432,3.034514029747935,5.613352879481698,0.8988195522314876,0.6226105198695099
2,100,25,5,NA,0,11.525623985020566,62.46943084984331,2.268680190021839,5.797303886077297,0.9137935212020473,0.5628206749995265
3,100,25,5,NA,0,10.996020988836419,54.59268457210047,2.25193794852116,5.363310690463852,0.9177144985709774,0.6187957438953329
4,100,25,5,NA,0,14.920800230643314,61.17290354667305,2.5480004132469403,5.744633969398305,0.9078753128476594,0.57460596385142515
1,200,25,5,NA,0,16.316658378897266,53.746926690740814,2.6724160748629107,5.529210845274361,0.8999179290086599,0.6252512516292994
2,200,25,5,NA,0,17.132463774543226,60.73414304057791,2.7959275575112534,5.6519398788567585,0.9071133313070991,0.5731268172858205
3,200,25,5,NA,0,11.298896061193911,55.10281996498903,2.337798785502541,5.551815892324646,0.9160483853814936,0.6043601994393817
4,200,25,5,NA,0,10.706449171157626,59.39601009417549,2.1269460997264433,5.678164878086881,0.920168122478885,0.5799037789490727
1,5,50,5,NA,0,29.601013691573797,58.04765901314783,3.772810728471151,5.676146560735089,0.7802148709873783,0.5973248728773687
2,5,50,5,NA,0,22.201708972179194,61.06519900146436,3.0266679845898827,5.804389852532067,0.8522548443787061,0.5879822920463148
3,5,50,5,NA,0,23.80469319017147,56.60179425326849,3.1570085188774804,5.495411677125969,0.8351119435007148,0.6178391429647654
4,5,50,5,NA,0,24.31897893207607,62.505678169022126,3.151214482023491,5.889638735342804,0.8289302580567085,0.563033723492314
1,10,50,5,NA,0,25.192934987987517,53.93984326285798,3.304157541113808,5.3730601557959305,0.8184744129948451,0.6261113376389866
2,10,50,5,NA,0,21.535331317709094,62.4756062095775,3.101593833711644,5.808532074958052,0.87613373693474494,0.5796756209509862
3,10,50,5,NA,0,13.683485395503082,57.375367847736854,2.43152036962669,5.612439443120847,0.8987821877871334,0.5906925993192519
4,10,50,5,NA,0,16.495563886653933,54.17328166499163,2.647059855681022,5.3594711183717765,0.8810293972191954,0.6218608004230878
1,20,50,5,NA,0,19.826815545094732,56.66926576161371,2.9240711570627007,5.804138499445643,0.8772009224808622,0.6148680615403762
2,20,50,5,NA,0,14.326297875896602,59.26286118650439,2.4613095197061745,5.7118785898956626,0.9021382805448384,0.603298490177822
3,20,50,5,NA,0,10.47473544089498,60.20170550090332,2.2075437021781132,5.7960754320549155,0.9216054236646397,0.595245733336297
4,20,50,5,NA,0,19.162563879522743,57.50264605537132,2.9151152410859575,5.5390722971618125,0.8922222533922767,0.6021881989105288
1,50,50,5,NA,0,16.98045311514395,53.31460781322897,2.755533555370388,5.496334057511805,0.8981504601551152,0.6257167736156941
2,50,50,5,NA,0,8.311497102273039,54.14983827005048,1.9156331570833125,5.376634771067155,0.9377030210642278,0.6184452815562851
3,50,50,5,NA,0,13.988777509089067,54.00344600370746,2.502661252317415,5.432217343532662,0.9319517579466209,0.614250080945447
4,50,50,5,NA,0,9.643800653131386,58.616074210618244,2.157944711290939,5.4605225674042135,0.9337284696723998,0.595261773289447
1,100,50,5,NA,0,11.085471697787431,54.61615996956085,2.205678507690501,5.619517289708644,0.9188869888710876,0.617484969142924
2,100,50,5,NA,0,9.053888728492662,58.26076762517336,2.071552830195828,5.516860770407878,0.9334004346990099,0.5873449746223559
3,100,50,5,NA,0,17.817788376109704,55.67733803806724,2.9827529553682286,5.485223116407553,0.926173907244378,0.6123431570854282
4,100,50,5,NA,0,10.12429312742497,56.96825381361149,2.074171606453736,5.377056602607008,0.9253092934230488,0.6021936058917616
1,200,50,5,NA,0,10.212801332971832,52.18372211417718,2.127012084349853,5.390793783816819,0.9244421343033434,0.6299495889242248
2,200,50,5,NA,0,9.309597979320289,50.94016457797979,2.0299958638565307,5.257317044569484,0.9326277624019415,0.6301484548225725
3,200,50,5,NA,0,16.81409922007417,56.59593226977657,2.868725983440009,5.499016900350869,0.9235090032846421,0.5983387753548116
4,200,50,5,NA,0,11.067856330623133,55.19060694894962,2.14707201421223,5.371752832226368,0.9366930271774732,0.6115388638999565
1,5,25,10,NA,0,36.21585660432373,52.8206870027671,4.234033352068386,5.312408213623918,0.732770536092735,0.6202546887104671
2,5,25,10,NA,0,31.976438016687258,50.33881460752398,3.9385334230310125,5.25739705516262,0.766421134581504,0.6362945158593803
3,5,25,10,NA,0,31.635132686253986,130.0617866185868,3.841754527558428,7.883854830670084,0.7632283470028306,0.3428894584014989
4,5,25,10,NA,0,25.78576934356086,71.07675150267582,3.4664770893952914,6.093080082548612,0.8066049606905301,0.48442675505054905
1,10,25,10,NA,0,28.17193333558386,50.965673172906875,3.5320743027349346,5.20999776901653,0.7879002179842685,0.6364760748093923
2,10,25,10,NA,0,28.138945585187816,49.214573364642916,3.658376291555927,4.972027558222777,0.7943103428769741,0.6469513239788655
