layers,neurons,epochs,batch.size,regularization,regularization_factor,garson_selection,dropout_rate,MSE_training,MSE_CV,MAE_training,MAE_CV,R2_training,R2_CV
3,100,25,3,NA,0.001,NA,0,12.446669156270548,53.942979339817114,2.3777315499595413,5.345222418170875,0.9090772775801721,0.6156673567695121
4,100,25,3,NA,0.001,NA,0,14.979910530910335,55.58581590505524,2.5610106422904506,5.583609232534063,0.9126943013110325,0.6087352054130495
1,200,25,3,NA,0.001,NA,0,12.136986347737624,53.89910548875651,2.4927975234449113,5.479393042624403,0.9098828553566152,0.6228880174915996
2,200,25,3,NA,0.001,NA,0,20.198013571136794,61.17366298989683,3.1150922784859296,5.701394068792911,0.9012659221225575,0.5720442272766015
3,200,25,3,NA,0.001,NA,0,18.18330600923638,54.89570815480221,2.7700215320560213,5.426429613021676,0.9019655972465469,0.626121488831948
4,200,25,3,NA,0.001,NA,0,14.642824677781235,61.12195018415123,2.633247808069439,5.701840538043648,0.8907536691819757,0.5788595148661984
1,5,50,3,NA,0.001,NA,0,22.43231728218331,58.20381551668258,3.1191113040152576,5.63501065830586,0.8398821553450961,0.5958281901882798
2,5,50,3,NA,0.001,NA,0,20.37449471849741,89.12578142365797,3.0663845723388916,6.568443520526514,0.8591888805880439,0.4472116173637644
3,5,50,3,NA,0.001,NA,0,22.51722757238314,74.5729362474318,3.193610388262868,6.489287526299498,0.8291596595386288,0.4624218503289087
4,5,50,3,NA,0.001,NA,0,26.072907353240456,57.332545038265465,3.529030508791339,5.608108828755688,0.8414213375812439,0.5971341067175092
1,10,50,3,NA,0.001,NA,0,20.554899805457552,55.40580947600029,2.9508289096189135,5.476950196978113,0.8603582375084311,0.6089216909184053
2,10,50,3,NA,0.001,NA,0,18.766031955690902,67.91235005456323,2.777249851149987,6.100251642441344,0.8611843237298614,0.5530294007836899
3,10,50,3,NA,0.001,NA,0,15.488227575422345,62.97730175735642,2.5966584510162867,5.945479311331955,0.8895306802372692,0.5764932779485945
4,10,50,3,NA,0.001,NA,0,22.95741151501709,63.48772553217095,3.265205250638903,5.864684357020681,0.8781603059523589,0.5726200922296134
1,50,50,3,NA,0.001,NA,0,12.90785751155693,61.01638397274415,2.275674975083239,5.918658584240443,0.9045588411509493,0.5906837535169983
2,50,50,3,NA,0.001,NA,0,12.042840928630664,56.3505366125612,2.2827438614780506,5.485957105657836,0.9272059118526269,0.5941086198592052
3,50,50,3,NA,0.001,NA,0,10.594229356802003,61.832587386557776,2.2394923304577663,5.7231085485523225,0.9236417488133175,0.5801366115044087
4,50,50,3,NA,0.001,NA,0,13.911561911264222,59.29593434447299,2.488939672463773,5.585381830155707,0.9225910846285883,0.5810679605377107
1,100,50,3,NA,0.001,NA,0,13.090125855761935,55.06570712172938,2.476281914313261,5.591005989688859,0.9265455950445608,0.6153109403599184
2,100,50,3,NA,0.001,NA,0,11.225003868194904,57.090360727300705,2.2161900812713653,5.471420305629596,0.9265248367136527,0.5967510462023509
3,100,50,3,NA,0.001,NA,0,9.337590254932826,57.499639856821986,1.9931056490049028,5.479241146774415,0.931522185186126,0.5889396302923745
4,100,50,3,NA,0.001,NA,0,8.98031552665672,58.53098291328509,1.9561303361971467,5.605035447985958,0.9324217991705788,0.5832116578875347
1,200,50,3,NA,0.001,NA,0,10.093985355780063,58.86112293372981,2.0484286810929637,5.78778879558488,0.9304158614866321,0.5932233431388659
2,200,50,3,NA,0.001,NA,0,9.370619978974924,59.755516716641004,1.9709088255003562,5.537596658391411,0.9367139797379733,0.5850671016746939
3,200,50,3,NA,0.001,NA,0,10.92791124288923,50.97526711015143,2.2422175579383823,5.177853668952766,0.9298238498698466,0.6297435928612658
4,200,50,3,NA,0.001,NA,0,10.64777123293475,51.092397743501536,2.190323007820124,5.164989604120984,0.9207197537305745,0.6361354775252631
1,5,25,5,NA,0.001,NA,0,30.33434498873744,49.21995239482488,3.713626257370787,5.1443824489795915,0.7784857840126037,0.6392255039149203
2,5,25,5,NA,0.001,NA,0,29.93082032426043,51.78809572694915,3.6756721094593647,5.2660667690139285,0.7769309934627713,0.6306630722172658
3,5,25,5,NA,0.001,NA,0,30.972912190865888,50.572796812675385,3.831939875735949,5.154250491562786,0.774350030235967,0.6385117979140844
4,5,25,5,NA,0.001,NA,0,30.83884506060822,56.07861437376135,3.6718378701103136,5.4421449422239006,0.7815387398128102,0.6075892096574625
1,10,25,5,NA,0.001,NA,0,35.61007091640161,53.9328916221823,4.079069869465393,5.367536909484708,0.7589080687487955,0.6265474632825833
2,10,25,5,NA,0.001,NA,0,26.009690054130687,53.808962220001604,3.3425521372080884,5.369503652843908,0.8269223819873375,0.6209972867654063
3,10,25,5,NA,0.001,NA,0,26.969825807457976,54.116929592258,3.5089237647597615,5.448592355964863,0.8377665078995459,0.6232009392717681
4,10,25,5,NA,0.001,NA,0,25.164475876058738,59.55376209831048,3.3302203629281455,5.5507165388387385,0.8410506758812858,0.5939938386817943
1,50,25,5,NA,0.001,NA,0,16.14644925487951,52.83458646889672,2.6580660919304386,5.378945532546287,0.8804415504538234,0.6305309961440376
2,50,25,5,NA,0.001,NA,0,16.538909971000905,61.64778987840434,2.642693870323015,5.79209423473796,0.8946845971425682,0.5698665385389381
3,50,25,5,NA,0.001,NA,0,12.639145335154723,51.138398043490376,2.429619824782429,5.4705368015011056,0.9040118773199808,0.6423571135825487
