eta,max_depth,min_child_weight,subsample,colsample_bytree,optimal_trees,min_RMSE,CV_R2
0.01,5,7,1,0.8,461,6.1513252,0.7102650140793768
0.05,5,7,1,0.8,124,6.186049,0.7076682060734782
0.1,5,7,1,0.8,40,6.1649446,0.7100226278289965
0.3,5,7,1,0.8,20,6.3089638,0.6991416151157478
0.01,10,7,1,0.8,614,6.138491,0.7144035890133198
0.05,10,7,1,0.8,132,6.0711712,0.7205897655050126
0.1,10,7,1,0.8,64,6.1590374,0.7139561815802312
0.3,10,7,1,0.8,45,6.1995924,0.7102120899729059
0.01,1,1,0.65,0.9,636,6.5504804,0.6794189268701839
0.05,1,1,0.65,0.9,168,6.3769258,0.6885716744295638
0.1,1,1,0.65,0.9,76,6.482173,0.6792268381428634
0.3,1,1,0.65,0.9,27,6.3947358,0.6857905636025063
0.01,3,1,0.65,0.9,478,6.1104468,0.7126844294669554
0.05,3,1,0.65,0.9,86,6.1925808,0.7061883777050504
0.1,3,1,0.65,0.9,47,6.1723592,0.7070981930735001
0.3,3,1,0.65,0.9,14,6.2588714,0.7032581498844998
0.01,5,1,0.65,0.9,467,6.0899022,0.7153961420038124
0.05,5,1,0.65,0.9,92,6.1567548,0.7101475815141651
0.1,5,1,0.65,0.9,53,6.2375002,0.7027755060455944
0.3,5,1,0.65,0.9,14,6.4427232,0.6865512762974696
0.01,10,1,0.65,0.9,634,6.1910814,0.7089600254765969
0.05,10,1,0.65,0.9,238,6.2423174,0.7036039209376418
0.1,10,1,0.65,0.9,134,6.3951108,0.6902902646729312
0.3,10,1,0.65,0.9,21,6.6973868,0.6687879587975765
0.01,1,3,0.65,0.9,636,6.5504804,0.6794189268701839
0.05,1,3,0.65,0.9,168,6.3769258,0.6885716744295638
0.1,1,3,0.65,0.9,76,6.482173,0.6792268381428634
0.3,1,3,0.65,0.9,27,6.3947358,0.6857905636025063
0.01,3,3,0.65,0.9,484,6.0987752,0.7137284182085567
0.05,3,3,0.65,0.9,99,6.1752692,0.706928144376035
0.1,3,3,0.65,0.9,67,6.1800162,0.7062442145566723
0.3,3,3,0.65,0.9,11,6.1670254,0.7145113020067377
0.01,5,3,0.65,0.9,498,6.0503842,0.7182150631783403
0.05,5,3,0.65,0.9,96,6.1397702,0.7101050161504774
0.1,5,3,0.65,0.9,61,6.1251102,0.7130909871206569
0.3,5,3,0.65,0.9,14,6.4820844,0.6821940165998449
0.01,10,3,0.65,0.9,542,6.1271508,0.7134376434079637
0.05,10,3,0.65,0.9,319,6.106737,0.7153349348392253
0.1,10,3,0.65,0.9,72,6.2994488,0.69825240497614
0.3,10,3,0.65,0.9,23,6.7398674000000005,0.6594054527794037
0.01,1,5,0.65,0.9,776,6.4276146,0.685140200731403
0.05,1,5,0.65,0.9,168,6.3769258,0.6885716744295638
0.1,1,5,0.65,0.9,76,6.482173,0.6792268381428634
0.3,1,5,0.65,0.9,27,6.3947356,0.6857905636025063
0.01,3,5,0.65,0.9,481,6.1063566,0.7131024297897797
0.05,3,5,0.65,0.9,105,6.095148,0.7139906096585887
0.1,3,5,0.65,0.9,56,6.1585453999999995,0.7081403458189888
0.3,3,5,0.65,0.9,14,6.1653264,0.7103624076171116
0.01,5,5,0.65,0.9,475,6.0283894,0.7206336249562545
0.05,5,5,0.65,0.9,98,6.0765874,0.7162637341953101
0.1,5,5,0.65,0.9,54,6.1771842,0.70866589916550915
0.3,5,5,0.65,0.9,12,6.3908998,0.6887408854216562
0.01,10,5,0.65,0.9,494,6.056851,0.7196273782873245
0.05,10,5,0.65,0.9,98,6.1281246,0.7141428336829836
0.1,10,5,0.65,0.9,57,6.1376995999999995,0.7143550172214282
0.3,10,5,0.65,0.9,11,6.3694192,0.6946017228503726
0.01,1,7,0.65,0.9,776,6.4256328,0.6853282934694079
0.05,1,7,0.65,0.9,168,6.3772364,0.688512490366786
0.1,1,7,0.65,0.9,76,6.482173,0.6792268381428634
0.3,1,7,0.65,0.9,27,6.3947358,0.6857905636025063
0.01,3,7,0.65,0.9,482,6.068414,0.7167016074007211
0.05,3,7,0.65,0.9,91,6.1103914,0.7136855980276114
0.1,3,7,0.65,0.9,53,6.2050724,0.7033977884869905
0.3,3,7,0.65,0.9,12,6.1827998,0.7108323906362755
0.01,5,7,0.65,0.9,469,5.9787142,0.7252717479100361
0.05,5,7,0.65,0.9,97,6.0030342,0.7238166285600532
0.1,5,7,0.65,0.9,45,6.2362666,0.7027673955949583
0.3,5,7,0.65,0.9,25,6.3458132,0.6975508903231707
0.01,10,7,0.65,0.9,517,6.0211178,0.7223861839895058
0.05,10,7,0.65,0.9,98,6.1054902,0.7158421645119047
0.1,10,7,0.65,0.9,61,6.1849932,0.7079323110847807
0.3,10,7,0.65,0.9,14,6.2150438,0.707198884202008
0.01,1,1,0.8,0.9,877,6.4354946,0.6825317649803785
0.05,1,1,0.8,0.9,209,6.3884208000000005,0.6859154327058864
0.1,1,1,0.8,0.9,73,6.4987708,0.6790488797734138
0.3,1,1,0.8,0.9,24,6.5435462,0.670576505750626
0.01,3,1,0.8,0.9,447,6.1453,0.7102381064255414
0.05,3,1,0.8,0.9,86,6.1884666,0.7065747181345401
0.1,3,1,0.8,0.9,52,6.1844470000000005,0.7060058606502785
0.3,3,1,0.8,0.9,12,6.5121028,0.679257108424613
0.01,5,1,0.8,0.9,484,6.1932786,0.7063647783840384
0.05,5,1,0.8,0.9,130,6.1818854,0.7079194657837353
0.1,5,1,0.8,0.9,59,6.1399118,0.7111768645488792
0.3,5,1,0.8,0.9,20,6.3404572,0.6979955984774694
0.01,10,1,0.8,0.9,691,6.2935734000000005,0.7011074999795732
0.05,10,1,0.8,0.9,178,6.3245468,0.6985027798781269
0.1,10,1,0.8,0.9,117,6.5528126,0.6789024829757152
0.3,10,1,0.8,0.9,38,6.580402,0.678962823408725
0.01,1,3,0.8,0.9,877,6.4354946,0.6825317649803785
0.05,1,3,0.8,0.9,209,6.388421,0.6859154327058864
0.1,1,3,0.8,0.9,73,6.4987708,0.6790488797734138
0.3,1,3,0.8,0.9,24,6.543546,0.670576505750626
0.01,3,3,0.8,0.9,447,6.144488,0.7104982675731538
0.05,3,3,0.8,0.9,92,6.182714,0.7061649178748571
0.1,3,3,0.8,0.9,42,6.2321406,0.7020801733578652
0.3,3,3,0.8,0.9,11,6.4930378,0.6820694554802971
0.01,5,3,0.8,0.9,485,6.1652076,0.7085139539752947
0.05,5,3,0.8,0.9,114,6.1573036,0.7102910466246521
0.1,5,3,0.8,0.9,49,6.1743982,0.7074456032225623
0.3,5,3,0.8,0.9,25,6.1813002,0.7098332955878869
0.01,10,3,0.8,0.9,563,6.189809599999999,0.7095909643046865
0.05,10,3,0.8,0.9,231,6.2910146000000005,0.7001746449533066
0.1,10,3,0.8,0.9,114,6.3847204,0.6929147549249288
0.3,10,3,0.8,0.9,14,6.465688200000001,0.6875468680396384
0.01,1,5,0.8,0.9,877,6.4358428,0.6825013348035377
0.05,1,5,0.8,0.9,193,6.3949092,0.6858307618665597
