selection,learning_rate,max_depth,num_leaves,bagging_fraction,feature_fraction,boosting_type,optimal_trees,min_RMSE
FALSE,0.05, 5, 50,0.70,0.50,gbdt,1000,7.494383362773958
TRUE,0.10, 5, 50,0.70,0.50,gbdt,896,7.23635079618328
FALSE,0.10, 5, 50,0.70,0.50,gbdt,983,7.571334940745675
TRUE,0.30, 5, 50,0.70,0.50,gbdt,246,7.5919044960906374
FALSE,0.30, 5, 50,0.70,0.50,gbdt,336,7.830149349842741
TRUE,0.01, 8, 50,0.70,0.50,gbdt,1000,7.525735429430107
FALSE,0.01, 8, 50,0.70,0.50,gbdt,1000,7.705311330868176
TRUE,0.05, 8, 50,0.70,0.50,gbdt,1000,7.262100987699945
FALSE,0.05, 8, 50,0.70,0.50,gbdt,998,7.394932496292309
TRUE,0.10, 8, 50,0.70,0.50,gbdt,650,7.20349010501437
FALSE,0.10, 8, 50,0.70,0.50,gbdt,1000,7.546077961762769
TRUE,0.30, 8, 50,0.70,0.50,gbdt,267,7.683411457467379
FALSE,0.30, 8, 50,0.70,0.50,gbdt,269,8.020096727501182
TRUE,0.01,10, 50,0.70,0.50,gbdt,1000,7.50443431979936
FALSE,0.01,10, 50,0.70,0.50,gbdt,999,7.683964966806467
TRUE,0.05,10, 50,0.70,0.50,gbdt,1000,7.239815605499249
FALSE,0.05,10, 50,0.70,0.50,gbdt,999,7.458467999274719
TRUE,0.10,10, 50,0.70,0.50,gbdt,994,7.2313095218418555
FALSE,0.10,10, 50,0.70,0.50,gbdt,999,7.4799407059524805
TRUE,0.30,10, 50,0.70,0.50,gbdt,376,7.648622010095529
FALSE,0.30,10, 50,0.70,0.50,gbdt,367,7.9988372778047205
TRUE,0.01, 1,100,0.70,0.50,gbdt,1000,9.029025610685045
FALSE,0.01, 1,100,0.70,0.50,gbdt,1000,9.068742092807906
TRUE,0.05, 1,100,0.70,0.50,gbdt,1000,8.520022016960787
FALSE,0.05, 1,100,0.70,0.50,gbdt,771,8.725441356190625
TRUE,0.10, 1,100,0.70,0.50,gbdt,992,8.491265806504522
FALSE,0.10, 1,100,0.70,0.50,gbdt,842,8.677796537393862
TRUE,0.30, 1,100,0.70,0.50,gbdt,989,8.430451909151957
FALSE,0.30, 1,100,0.70,0.50,gbdt,999,8.656365940477436
TRUE,0.01, 3,100,0.70,0.50,gbdt,1000,8.104559805599813
FALSE,0.01, 3,100,0.70,0.50,gbdt,998,8.235538953661075
TRUE,0.05, 3,100,0.70,0.50,gbdt,1000,7.599917486129297
FALSE,0.05, 3,100,0.70,0.50,gbdt,999,7.852341324195278
TRUE,0.10, 3,100,0.70,0.50,gbdt,995,7.509143333420269
FALSE,0.10, 3,100,0.70,0.50,gbdt,992,7.764999537641397
TRUE,0.30, 3,100,0.70,0.50,gbdt,713,7.558355015836473
FALSE,0.30, 3,100,0.70,0.50,gbdt,994,7.927416366423577
TRUE,0.01, 5,100,0.70,0.50,gbdt,1000,7.699673556167797
